	HS578T	MCF7	MDA-MB-231	T47D	ZR-75B
FAM115A	12.0156	27.7962	25.0779	22.8032	20.71
FAM115B	8.5875	20.2014	19.0686	16.7486	15.9887
FAM115C	0.467686	1.01288	1.09293	1.14336	0.595807
FAM115D	0.165555	0.330702	0.414406	0.493933	0.216702
FAM117A	1.80909	8.53978	4.92203	15.2956	10.0826
FAM117B	0.717028	5.05956	1.34326	0.793326	0.648527
FAM118A	44.4582	17.5482	10.2331	8.31867	11.2344
FAM118B	11.3596	3.66162	9.5945	17.07	5.34267
FAM120A	45.024	62.3399	49.0622	47.1355	47.3639
FAM120AOS	14.6412	32.0283	15.455	39.9962	46.1851
FAM120B	8.45735	13.9228	15.6224	11.5746	12.1277
FAM120C	1.303	3.04257	1.33727	5.27364	2.22927
FAM120C	0	0	0	0	0
FAM122A	2.77513	0.795794	1.7792	2.00611	3.4398
FAM122B	16.9144	28.211	34.205	8.3951	21.9082
FAM122C	1.30443	0.533554	2.4664	0.969309	0.444817
FAM123A	0	0	0	0	0.0810391
FAM123B	0.817979	2.64849	1.27703	1.37163	4.42377
FAM123C	0	0	0	0	0.00451144
FAM124A	1.77897	0.028238	0.417413	0.229031	1.08272
FAM124B	0	0.0416289	0	0	0
FAM125A	24.9631	51.5386	32.5626	43.0805	46.652
FAM125B	1.29795	1.89942	1.66989	4.02395	2.4642
FAM126A	43.247	1.61121	16.0577	7.9263	9.07562
FAM126B	3.39062	2.45253	2.5679	3.66248	5.41411
FAM127A	101.54	54.6814	87.6346	31.0154	17.7604
FAM127B	50.3259	89.493	60.0658	25.7638	52.8834
FAM127C	20.5856	18.5906	18.1464	7.92686	18.5938
FAM129A	11.9253	0.0173568	18.0437	9.19064	3.40599
FAM129B	120.241	54.2001	140.069	66.0652	28.067
FAM129C	0	0.268024	0.0317579	0.0360689	0
FAM131A	1.66046	13.7387	5.78258	27.1853	9.25882
FAM131B	0.146019	0.0743349	0.0140255	0.0159581	0
FAM131C	1.2595	1.91523	0.673004	0.38302	4.77607
FAM132A	0.390714	4.98974	0.136738	0.534427	0.516971
FAM132B	7.01332	0.473491	6.47377	0.120294	6.38798
FAM133A	6.98826	0	0.112334	0.0852153	0
FAM133B	4.99359	7.20741	7.2122	7.44632	11.6382
FAM133CP	1.29365	1.00534	1.3125	1.23678	1.89947
FAM133DP	4.97022	4.64361	6.65865	7.79916	11.6011
FAM134A	55.8944	92.4874	28.3024	68.265	43.5319
FAM134B	2.40546	1.69042	3.56327	5.0043	4.77536
FAM134C	7.47799	22.353	19.8581	34.7871	27.4436
FAM135A	1.96706	0.978086	2.74217	1.22582	3.03747
FAM135B	0	0	0	0	0
FAM136A	24.9261	29.7872	53.0875	27.8916	67.0609
FAM136BP	0	0.359949	0	0	0
FAM138A	0	0	0.201681	0	0
FAM138B	0	0	0.487336	0	0
FAM138C	0	0	0.294274	0	0
FAM138D	0	0	0.00511442	0	0
FAM138D	0	0	0	0	0
FAM138E	0	0	0.074008	0	0
FAM138F	0	0	0.232442	0	0
FAM13A	5.80287	1.19625	7.55429	3.89021	0.738999
FAM13A-AS1	0.280318	0.0622551	0.184093	0.0898491	0.492716
FAM13B	9.30182	4.24218	14.6802	11.9492	11.3906
FAM13C	1.02986	0.119497	0.84063	0.978144	0.274108
FAM149A	1.22978	0.0715651	1.92099	2.11922	3.47845
FAM149B1	4.81777	12.6078	7.13512	10.3006	27.2122
FAM149B1P1	0.366446	1.0444	0.134716	0.470989	1.72445
FAM150A	0	0	0	0	0
FAM150B	0.160113	0.120429	0	0	0.284501
FAM151A	0.0110127	8.59E-32	0.0229353	3.24E-25	1.34E-41
FAM151B	0.534184	0.857505	0.683622	1.94965	2.48689
FAM153A	0	0.676897	0	0.00736499	0
FAM153B	0	0.640935	0.0717852	0.0129187	2.22E-09
FAM153C	0	1.99982	0	0.0711957	0
FAM154A	0	0.116798	0	0	0.0171727
FAM154B	2.02348	0.467704	0.110601	2.72663	0.0169903
FAM155A	6.72506	0	2.24279	4.36127	0.400859
FAM155A-IT1	0.0723534	0	0.0418574	0	0
FAM155B	0	1.65364	0	0.928569	8.99284
FAM156A	5.59265	6.91481	4.99802	9.41178	6.11765
FAM156A	0	0	0	0	0
FAM156A	0	0	0	0	0
FAM156B	4.7119	6.48294	4.61891	7.50059	5.74336
FAM157A	0.0121125	0.475223	0.64645	0.195045	0.298813
FAM157B	0.0955934	1.32094	0.700703	0.952297	0.788451
FAM157C	0.267675	4.0464	1.89117	2.38061	2.50295
FAM159A	0	0	0	0	0
FAM159B	0	0	0	0.0832085	0
FAM160A1	0.46256	2.13562	3.22686	2.49793	2.52175
FAM160A2	6.80336	14.826	7.26751	6.09457	11.3213
FAM160B1	9.33259	3.80574	5.96949	2.9353	5.09427
FAM160B2	17.8286	22.0956	17.4222	11.3801	9.99912
FAM161A	2.75399	1.8837	5.33331	1.13676	4.2701
FAM161B	2.93075	1.55369	1.5564	5.42337	0.604137
FAM162A	16.0145	18.3784	20.416	23.1768	26.0323
FAM162B	0	0	0	0	0
FAM163A	0	0.0567856	0	0.0116044	0.00983383
FAM163B	0	0	0	0	0
FAM165A	0	0	0	0	0
FAM165B	8.36788	8.58546	6.24991	19.727	7.61747
FAM166A	0.0500518	0.0748701	0.0865997	0.0434775	3.34E-11
FAM166B	0	0.0813323	0.0379151	0.254458	1.36949
FAM167A	4.84426	1.95759	1.84849	1.37104	0.88094
FAM167B	1.17162	1.14039	0.32094	0.446761	0.0686115
FAM168A	25.5791	21.9326	15.5446	26.9376	10.8807
FAM168B	50.8034	41.7971	50.086	43.0335	44.5614
FAM169A	0.919494	0.954287	3.6801	2.83591	5.32888
FAM169B	0	0	0	0.032245	0
FAM170A	0	0	0.0264029	0	0.163053
FAM170B	0	0	0	0	0
FAM171A1	18.8635	1.80379	13.0727	0.0252711	5.7927
FAM171A2	2.15859	10.5912	2.62263	4.92626	11.0281
FAM171B	5.22357	4.99008	4.9298	0.491642	0.785892
FAM172A	8.10983	4.90595	7.03838	6.06503	29.1063
FAM172BP	0.0516803	0	0.0588432	0	0.0126398
FAM173A	7.85219	42.1919	10.2298	19.4056	108.913
FAM173B	16.6635	5.37034	8.36004	13.7942	7.65432
FAM174A	5.16945	11.6102	8.96068	10.6302	4.00726
FAM174B	0.668116	28.862	5.69709	24.1189	8.26352
FAM175A	4.07678	5.63314	7.86474	2.71182	4.3029
FAM175B	7.85767	8.32912	8.38612	7.44569	13.064
FAM177A1	44.6525	45.5967	48.667	56.8809	44.9431
FAM177A1P1	0	0	0	0	0
FAM177B	0	0	0	0	0.0876252
FAM178A	9.65045	2.54034	16.4091	14.5299	6.76065
FAM178B	0	8.81739	0	0.368942	0.190295
FAM179A	0.121168	0	0.240304	0	0.00840013
FAM179B	3.88734	6.70706	7.44392	4.65592	3.29666
FAM180A	14.5934	0	0.0202987	0	0
FAM180B	0	0.0315594	0.022684	0	0
FAM181A	0	0	0	0	0
FAM181A-AS1	0	0	0	0	0
FAM181B	0	0.0229573	0	0	0
FAM182A	0.00991404	0.0348121	0.00858387	0	0.115644
FAM182B	0.642118	0.445373	0.170022	0.304373	2.17186
FAM183A	0.147101	1.1293	0	0.918544	0.751642
FAM183B	0	0	0	0	0
FAM184A	0.388251	1.46264	1.53952	0.964514	1.97538
FAM184B	0.271397	2.00725	0.657019	1.57348	1.11354
FAM185A	2.46052	5.07614	3.19417	3.86107	3.66727
FAM185BP	0.569219	0.810276	0.599608	1.17786	0.869696
FAM186A	0	0.0597195	0.0888283	0.0651101	0
FAM186B	0.0963258	0.916083	0.228099	0.451497	0.408392
FAM187A	0.189418	0.698981	0.870652	1.07326	0.982874
FAM187B	0	0	0	0	0
FAM188A	10.2002	5.2408	8.24746	8.33102	7.11741
FAM188B	2.1214	1.11583	0.654602	4.92503	8.00843
FAM188B2	0	0	0	0	0
FAM189A1	0.731826	0	0.0061807	0.00703214	2.20149
FAM189A2	0.0699674	0.17998	0.661942	0.179875	3.13681
FAM189B	23.6164	44.0016	20.4225	38.9198	35.3853
FAM189B	0	0	0	0	0
FAM18A	0.0716	0.143838	0.0826849	0.152968	0.185544
FAM18B1	33.4879	23.0699	27.3114	22.351	19.4305
FAM18B2	9.85781	4.90251	7.95209	4.62544	4.44566
FAM18B2-CDRT4	3.54157	2.52455	3.92739	1.37821	3.56132
FAM18B4P	0	0	0	0	0
FAM190A	0	0.653864	0.722167	2.4111	1.96818
FAM190B	18.3639	5.08821	16.0216	12.0745	31.5448
FAM192A	19.4146	23.2742	36.4611	22.2654	22.0522
FAM193A	7.50067	12.6609	9.43768	14.2251	12.1022
FAM193B	6.54603	34.2949	23.9096	17.7167	15.2724
FAM194A	0	0.11731	0	0.135939	0
FAM194B	0.219443	0.933173	0.346867	0.310769	0.273377
FAM195A	8.0131	38.5358	12.8303	32.6318	30.8383
FAM195B	22.6683	19.0078	24.0062	22.0353	40.8591
FAM196A	0.17914	0.0653362	0.018766	0.0979126	0.0319247
FAM196B	6.43776	0	1.08472	0	0.00952392
FAM197Y1	0	0	0	0	0
FAM197Y2	0	0	0	0	0
FAM197Y3	0	0	0	0	0
FAM197Y6	0	0	0	0	0
FAM197Y7	0	0	0	0	0
FAM197Y8	0	0	0	0	0
FAM197Y9	0	0	0	0	0
FAM198A	0.39496	0.127471	0.0157055	18.9836	1.91061
FAM198B	4.78616	0.599758	0.348035	7.23925	0.0370822
FAM199X	5.05837	16.372	15.1901	9.12943	15.3508
FAM199X	0	0	0	0	0
FAM19A1	0	0	0	0	0
FAM19A2	0.589381	0.531487	0.208416	0.531367	0.437548
FAM19A3	0.0535502	0	0.092876	0.0705085	0.0297959
FAM19A4	0	0	0	0	0
FAM19A5	0	2.24954	0	0	9.99188
FAM200A	2.17326	1.33592	3.65608	2.11109	3.90507
FAM200B	41.8179	13.1545	19.0563	10.096	8.94101
FAM201A	1.11539	3.0605	3.2543	4.51095	0.729718
FAM201B	0.336973	0.464332	0.0278008	0.0632784	0.118254
FAM203A	13.4188	5.59491	5.12866	15.5798	10.0811
FAM203B	13.5874	4.24747	5.09349	15.6484	9.78007
FAM204A	18.521	19.2741	15.6813	27.1143	46.2899
FAM204BP	0.701458	0.211555	0.355273	0.636195	0.585095
FAM204CP	0	0	0	0	0
FAM205A	0	0	0	0	0
FAM205B	0	0	0	0	0
FAM205B	0	0	0	0	0
FAM205CP	0	0	0	0	0
FAM206A	6.522	6.45558	5.38923	11.5513	10.3431
FAM206BP	0	0.0989712	0	0.325236	0.0683673
FAM207A	6.43981	11.9553	9.14081	11.2991	7.73796
FAM207BP	8.79375	15.2394	9.96255	12.2885	9.73436
FAM207CP	0.538173	0.43301	0.546077	0.385591	0.448534
FAM208A	22.9485	14.4502	31.3952	21.9809	22.3182
FAM208B	18.7038	19.0351	25.1241	27.9226	22.7171
FAM209A	0.11263	0.460797	0.331425	0.0419433	0.141691
FAM209B	0	0.0714165	0.205606	0.0585757	0.19751
FAM20A	0.0425862	0.229329	0.160089	0.096567	0.270693
FAM20B	15.8091	21.1516	17.5181	17.9511	34.8667
FAM20C	164.388	6.62285	15.6341	28.57	12.4521
FAM210A	19.4857	9.33458	13.7791	11.9386	7.93037
FAM210B	7.69446	19.6009	4.58983	28.3638	9.80995
FAM211A	0.191376	1.51332	1.61486	0.275964	1.12588
FAM211B	2.44758	17.0621	0.494246	11.5949	2.72934
FAM212A	2.99787	0.0438242	1.22899	0.251201	0.0606551
FAM212B	5.71803	2.10383	1.50728	4.95068	4.94797
FAM213A	0.0927849	41.8971	26.2479	55.4704	114.696
FAM213B	23.457	12.3956	15.0554	13.3233	24.4545
FAM214A	3.93363	30.9699	11.0326	16.2334	27.4288
FAM214B	8.74413	4.68202	10.9053	4.01548	2.60546
FAM215A	0	0	0.0155201	0	0
FAM215B	0.215563	0.270173	0.478747	0.588948	0.830474
FAM216A	10.2711	7.62877	9.12118	13.7531	8.96137
FAM216B	0	0	0	0	0
FAM217A	0.377385	0	0.663109	0.253165	0
FAM217B	2.90845	4.55418	4.11276	8.64601	10.6334
FAM218A	0.529268	0.212714	0.541849	0	0
FAM218BP	0	0	0	0	0
FAM219A	8.04506	1.93645	9.29893	5.20265	12.6248
FAM219B	12.08	18.0446	19.7397	20.698	7.03583
FAM21A	16.9106	22.1346	15.6544	21.2457	13.6086
FAM21B	13.1329	14.1148	13.4081	15.7641	7.75781
FAM21C	16.1655	22.2757	15.7699	23.101	11.1452
FAM21C	0	0	0	0	0
FAM21D	6.43666	10.3128	8.01571	10.2125	4.91301
FAM220A	7.78527	9.00296	6.56037	16.5322	10.7766
FAM220BP	0	0	0	0	0
FAM220CP	0	0.187321	0	0.0511862	0
FAM221A	0.15831	9.0865	3.15056	5.09764	0.0616631
FAM221B	0	0	0.023371	0	0.0796969
FAM222A	0.528811	0.516297	1.04648	4.91512	8.9493
FAM222A-AS1	0.0671779	0	0.0698856	0.519397	0.149478
FAM222B	2.43121	7.68355	6.96893	11.3837	6.19922
FAM223B	0	0	0	0	0
FAM223B	0	0	0	0	0
FAM224A	0	0	0	0	0
FAM224B	0	0	0	0	0
FAM225A	1.95846	0.0230648	1.23943	4.47481	0
FAM225B	1.77729	0.0214989	1.033	3.71949	0
FAM227A	0.656039	1.09468	0.438892	0.763855	0.779534
FAM227B	0.78282	35.2599	0.790714	2.08753	1.71282
FAM228A	0	0	0	0	0
FAM228B	1.19252	1.83383	2.6569	3.77427	0.746054
FAM22A	0.443609	0.36784	0.851575	0.779844	1.35135
FAM22B	0.241965	0.520048	0.618722	0.434375	1.45752
FAM22D	0.840415	0.793198	2.26341	2.31634	3.65815
FAM22E	0.149065	0.153215	0.428267	0.296229	0.808471
FAM22F	0.0205878	0.335112	0.0237771	0.0257051	0.0739949
FAM22G	0.0980225	0.343698	0.159696	0.152048	0.200089
FAM24A	0	0	0	0	0
FAM24B	2.48296	1.89062	4.54483	2.58056	0.0484965
FAM25A	0	10.8316	0.452009	3.16044	14.0378
FAM25B	0	0.0390979	0.0282495	0.0941784	0.636983
FAM25C	0	0.0499605	1.13192	0.120636	0.812084
FAM25C	0	0	0	0	0
FAM25D	0	0	0	0	0
FAM25E	0	0	0	0	0
FAM25E	0	0	0	0	0
FAM25G	0	0.0390979	0.0282502	0.0941784	0.636983
FAM25G	0	0	0	0	0
FAM25HP	0	0	0.0312009	0	0.0544228
FAM26D	0.050089	0	0	0	0
FAM26E	3.36383	0	0.0555501	0	0.0028212
FAM26F	0.246663	0.0406892	0.0714756	0	0
FAM27A	5.93823	0	1.47889	0.557888	8.03703
FAM27B	3.59859	0	0.828278	0.059452	5.60338
FAM27C	3.09271	0	0.490077	0.0455419	3.57489
FAM27D1	0.106029	0	0.036736	0.0488531	0.0523712
FAM27E1	0.590725	0	0.0290778	0.201243	0.44113
FAM27E2	0.350203	0	0.0649988	0.131403	0.243815
FAM27E3	1.93503	0	0.338027	0.466506	1.48172
FAM27E4P	0.780748	0	0.145548	0.265302	0.726832
FAM27L	0	0	0	0	0
FAM32A	44.7349	53.5233	49.1274	34.1337	51.2923
FAM32B	0	0.138399	0	0	0
FAM35A	7.7987	6.85927	18.1118	14.5891	45.2777
FAM35B	0.966868	1.11724	2.43573	1.73881	5.43348
FAM35B	0	0	0	0	0
FAM35B2	1.17687	1.15364	2.27513	1.78172	6.37447
FAM35B2	0	0	0	0	0
FAM3A	13.9758	39.39	18.2967	23.9404	24.4121
FAM3A	0	0	0	0	0
FAM3B	0	3.82874	0.0784696	0.0446917	0.0754646
FAM3C	37.5026	4.55299	25.5476	6.94821	8.47772
FAM3C2	91.1755	10.2406	51.202	14.1303	16.4356
FAM3D	0.0415639	0.159834	0.0960748	0.108627	0.152646
FAM41AY1	0	0	0	0	0
FAM41AY2	0	0	0	0	0
FAM41C	0.460853	0.219695	0.282236	0.229231	0.194796
FAM43A	58.0272	1.03469	2.9259	2.19459	1.46072
FAM43B	0	0	0	0	0
FAM45A	9.86105	11.7769	13.4866	20.8015	12.8805
FAM45B	15.8172	16.492	24.6747	25.0458	21.729
FAM46A	6.99488	0.787947	2.0545	1.57432	5.15187
FAM46B	5.97286	6.31886	3.10676	20.6794	3.54527
FAM46C	0.391946	1.28103	9.44129	1.45565	7.25337
FAM46D	0.08517	0	0	0	0
FAM47A	0	0	0	0	0.0223322
FAM47B	0	0	0	0	0
FAM47C	0	0	0	0	0
FAM47C	0	0	0	0	0
FAM47DP	0	0	0	0	0
FAM47DP	0	0	0	0	0
FAM47E	7.29728	5.85731	8.34447	2.45681	3.27202
FAM48A	19.4047	17.3626	22.156	17.0203	28.3449
FAM49A	2.26914	0.312853	4.0936	0.860628	1.3519
FAM49B	52.4726	37.0485	65.239	46.4527	32.3479
FAM50A	64.4188	49.9987	69.1922	57.8204	73.1835
FAM50A	0	0	0	0	0
FAM50B	1.71814	4.80611	0.0760459	5.93493	0.0183176
FAM53A	0.910474	2.27847	2.51429	2.75874	2.4146
FAM53B	4.28704	15.203	2.71025	7.34556	8.85895
FAM53C	13.8442	18.7093	17.8533	32.9905	30.5327
FAM54A	10.2957	3.41466	12.6682	4.98458	12.2581
FAM54B	30.9375	27.7818	18.0556	18.046	27.8583
FAM57A	9.39083	3.62264	8.18602	5.9303	8.58857
FAM57B	0.519661	1.21805	0.108094	0.19267	0.952028
FAM58A	12.5687	15.2092	14.4504	9.93397	24.5838
FAM58A	0	0	0	0	0
FAM58BP	0	0.117611	0.0282232	0.019052	0
FAM58CP	0	0	0.0285088	0	0
FAM58DP	0.56551	0.827035	0.714502	0.475152	1.25753
FAM59A	1.96717	1.54234	1.61191	1.06288	2.76392
FAM59B	0.320201	0.491008	0.0211544	0.18537	2.30527
FAM5B	0.0831324	0.0501364	0.0601991	0	0.0477918
FAM5C	0.183138	0	0.0308169	0.133785	126.343
FAM60A	4.29006	35.8706	21.2633	7.8122	23.6503
FAM60BP	0.047509	1.36287	0.467619	0.125401	0.528302
FAM60CP	2.72373	19.3257	10.3316	3.56346	12.7682
FAM63A	2.77914	12.3856	5.35534	27.9511	9.49917
FAM63B	5.16997	0.504957	3.65865	1.85763	1.89064
FAM64A	75.4779	5.73934	43.9626	20.8039	28.8316
FAM65A	27.4561	15.8019	36.735	16.5688	25.1089
FAM65B	0.0431598	0	0.155395	0.0915578	0.0120137
FAM65C	0.0518449	3.16023	3.67708	3.48947	0.189289
FAM66A	0	0.129179	0.115509	0.184362	0.0466231
FAM66B	0.0568759	0.96898	0.286637	0.0581944	0.441412
FAM66C	0.106982	1.74153	0.319464	0.156065	1.50745
FAM66D	0	0.743841	0.24296	0	0.236233
FAM66E	0.0125674	0.427464	0.0808388	0.0273612	0.0647617
FAM69A	22.4489	0.87231	17.3551	1.04328	3.19448
FAM69B	0.0862164	13.4682	2.2783	7.53459	4.3786
FAM69C	0	0	0	0	0.0688092
FAM70A	0.0178561	0	0	0	0
FAM70A	0	0	0	0	0
FAM70B	34.4389	0.238841	6.60768	1.49402	0.632958
FAM71A	0	0	0	0	0
FAM71B	0	0	0	0	0
FAM71C	0	0	0.017076	0.0583075	0
FAM71D	0.196859	0.144468	12.6045	0.150453	0.208444
FAM71E1	0.0435319	0	0	1.13614	0.997183
FAM71E2	0	0	0	0	0
FAM71F1	0.185681	0	0	0	0
FAM71F2	0.544796	0.0195984	0.198665	0.139321	0.344516
FAM72A	4.71241	4.89284	10.3321	11.9429	11.1648
FAM72A	0	0	0	0	0
FAM72B	6.57147	4.69702	11.6003	8.82883	11.32
FAM72B	0	0	0	0	0
FAM72C	2.49259	2.23238	6.00066	5.48636	5.88441
FAM72C	0	0	0	0	0
FAM72D	2.9235	4.28329	8.00396	8.70262	8.11843
FAM72D	0	0	0	0	0
FAM73A	10.6882	3.21193	7.49793	2.6276	3.87008
FAM73B	7.2592	14.0508	13.0439	15.7944	12.1934
FAM74A1	0.037783	0	0	0	0
FAM74A2	0	0	0	0	0
FAM74A3	0	0	0	0	0
FAM74A4	0	0	0	0	0
FAM74A6	0	0	0	0	0
FAM74A7	0	0	0	0	0
FAM76A	7.81612	1.80232	3.95464	5.57541	4.96635
FAM76B	11.3035	9.89101	17.3007	7.03126	9.68486
FAM78A	0.0511111	1.46471	1.2449	1.80999	2.27213
FAM78B	0	0.519571	0	0.0721066	0.426366
FAM81A	2.48302	0.529479	3.05584	1.69685	9.64038
FAM81B	0	0	0	0.166576	0.0641732
FAM82A1	3.34353	0.643478	3.60292	0.732895	1.52733
FAM82A2	12.5522	14.2833	17.4895	32.7762	15.2624
FAM82B	60.7625	29.8072	34.1491	55.4395	31.9262
FAM83A	0.17231	0.747166	0.504177	2.39345	0.0310864
FAM83B	0.0646202	7.01169	0	2.97168	2.16774
FAM83C	0	0	0	0	0
FAM83C-AS1	0.234502	0	0	0	0
FAM83D	38.0864	9.19945	38.0623	57.9735	59.1134
FAM83E	0	0.176236	0.0158291	0	0.228532
FAM83F	0.0275446	0	0	2.79857	4.46006
FAM83G	10.2498	9.08105	14.6474	8.89448	7.18092
FAM83H	0.0886325	35.9303	1.21245	45.7568	19.6104
FAM83H	0	0	0	0	0
FAM84A	1.46924	0.01084	0.0155802	0.00748064	1.68893
FAM84B	0.390413	28.3687	8.22365	25.4713	13.3881
FAM86A	7.78779	11.7894	7.57991	17.2491	18.5801
FAM86B1	2.49276	4.26893	0.733774	0.677807	4.84537
FAM86B2	4.01545	2.7768	0.611288	1.04293	4.02588
FAM86B3P	3.3556	4.54589	1.62808	2.59069	2.06618
FAM86C1	3.90242	6.07059	5.22134	5.57584	4.98637
FAM86C2P	2.28544	6.21156	1.80087	6.86814	13.7283
FAM86DP	13.3669	3.38493	5.16122	3.62748	4.16475
FAM86EP	0.985964	5.92172	1.28897	7.08334	5.73641
FAM86FP	0.106946	1.22634	0.224768	0.104685	0.763123
FAM86GP	0.0590545	0	0	0.097225	0.0328554
FAM86HP	1.35391	2.2716	0.112651	1.42901	1.48495
FAM86JP	1.44063	3.75327	0.973516	1.36546	2.75037
FAM86KP	0	0	0	0.0127165	0.0752089
FAM86LP	0	0	0.438296	0	0
FAM86MP	0.00659087	0	0.0190601	0	0
FAM87A	0.296884	0.119469	0.128725	0.0491265	0.247288
FAM87B	0.596898	0.0981413	0.046988	0.0445883	0.12954
FAM89A	6.60024	1.9789	7.71323	0.96321	7.86688
FAM89B	26.6446	12.9975	7.37083	19.4036	7.83423
FAM8A1	4.57517	8.2158	4.61235	12.2467	4.05136
FAM8A2P	0	0	0	0	0
FAM8A2P	0	0	0	0	0
FAM8A3P	0.0697692	0.224412	0.201794	0.459738	0.0388092
FAM8A4P	0	0.036729	0	0	0
FAM8A5P	0	0	0	0	0
FAM8A5P	0	0	0	0	0
FAM8A5P	0	0	0	0	0
FAM8A6P	0.525668	0.924494	0.560231	2.03806	0.6033
FAM90A1	0	0.208301	0.0384922	0	0.08113
FAM90A10P	0	0	0.00281968	0	0.00236442
FAM90A11P	0	0.0378546	0.00169982	0	0.00483769
FAM90A12P	0	0	0	0	0.00401504
FAM90A13P	0	0.0114053	0.00281963	0	0.0196017
FAM90A14P	0	0	0.00281968	0	0.00607297
FAM90A15P	0	0	0.00281299	0	0.00492273
FAM90A16P	0	0	0	0	4.82E-06
FAM90A17P	0	0	0	0	0.0175744
FAM90A18	0	0	0	0	0.0177306
FAM90A19P	0	0	0	0	2.77E-10
FAM90A20P	0	0.0627672	0	0	0.0047949
FAM90A21P	0	0	0	0	0.0155005
FAM90A22P	0	0	0	0	0.00352487
FAM90A24P	0	0	0	0	0.00592107
FAM90A25P	0.019582	0.0997002	0	0	0.0799215
FAM90A26P	0	0	0	0	0.00120705
FAM90A27P	0	0	0	0	0
FAM90A2P	0.0107145	0.0473671	0.0247488	0.0140821	0.061079
FAM90A3	0	0.0235306	0.00422283	0	0.00888231
FAM90A4P	0	0.00784589	0.00140984	0	0.00774428
FAM90A5P	0	0	0.00281963	0	0.0115606
FAM90A6P	0	0	0	0	0.00443253
FAM90A7P	0	0	0	0	0.0113245
FAM90A8P	0	0	0	0	0.0094156
FAM90A9P	0	0	0	0	0.00785338
FAM91A1	28.07	15.1702	19.1116	11.0715	12.9345
FAM91A2	1.47545	2.68641	1.53028	1.288	0.245888
FAM91A2	0	0	0	0	0
FAM92A1	33.4018	2.64922	11.5844	2.37549	1.48086
FAM92A1P1	14.397	0.0997948	3.83992	0.837909	0
FAM92A1P2	0.16657	0	0.0192686	0.0219481	0
FAM92B	0	0	0	0.0732571	0
FAM95B1	0.352069	0	1.16353	0.093708	1.50782
FAM96A	28.5353	55.0693	52.372	48.7375	58.599
FAM96AP1	0	0	0	0	0
FAM96AP2	0	0.118016	0.255226	0.194127	0
FAM96B	33.3793	61.9365	81.0025	37.3348	49.2277
FAM98A	70.128	21.7414	42.5701	42.5483	67.6857
FAM98B	16.7035	12.6876	18.9612	20.3259	13.0797
FAM98C	4.17315	11.7818	8.55358	8.79123	13.1074
FAM99A	0	0	0	0	0
FAM99B	0	0	0	0	0
FAM9A	0	0	0	0	0
FAM9B	0	0	0.840232	0	0
FAM9C	0	0	0	0	0
FAN1	5.77394	5.27459	6.50343	11.4489	9.52452
FANCA	33.0377	15.7281	57.0793	19.2428	20.9633
FANCB	5.2154	0.810572	4.63868	1.66227	3.07997
FANCC	6.8685	7.77377	8.57223	6.2613	7.59147
FANCD2	34.44	15.2151	27.586	35.9491	61.3585
FANCD2OS	0	0	0	0.371184	0.205212
FANCD2P2	0.812662	0.234439	0.602879	0.965542	1.33271
FANCD2P2	0	0	0	0	0
FANCE	4.71144	5.74965	9.361	7.41023	5.53
FANCF	0.462907	2.42339	1.07155	9.97135	6.53039
FANCG	16.5531	18.9061	37.0915	29.8356	29.7339
FANCI	34.0486	19.9847	51.9572	47.4735	48.337
FANCL	7.0431	6.10548	11.2946	4.53325	14.0729
FANCM	3.08911	1.53113	4.7544	3.37736	5.75055
FANK1	0.3231	2.92307	1.2919	0.498621	1.17896
FANK1-AS1	0	0	0	0	0
FAP	29.9236	0	0.133463	0	0
FAR1	22.9701	9.55465	34.7302	14.2134	36.8515
FAR1-IT1	0	0	0.126715	0	0.120883
FAR1P1	0	0	0	0	0
FAR2	22.0098	21.266	0.837599	0.730529	15.3562
FARP1	38.1365	17.0556	13.6064	33.1618	21.2741
FARP1-AS1	0	0	0.161195	0	0
FARP2	10.0295	6.22504	9.10738	8.15103	12.1624
FARS2	8.37356	9.58043	7.15645	16.2076	7.90631
FARSA	57.8547	90.4857	57.1083	62.4717	54.862
FARSB	36.2025	13.364	21.5187	34.9541	24.2555
FAS	16.8227	1.26572	4.27208	12.9625	13.4133
FASLG	0	0	0.0497209	0.0188632	0
FASN	88.4113	705.772	257.456	263.236	519.548
FASTK	27.9184	23.5759	28.8943	34.4189	26.4763
FASTKD1	6.5491	6.95279	5.66584	2.05457	5.05665
FASTKD2	16.3797	13.1456	15.6282	12.1249	15.4235
FASTKD3	5.42596	3.89917	5.76879	5.39031	6.46712
FASTKD5	7.72398	5.41678	14.4087	10.77	11.8008
FAT1	130.742	3.24185	59.2315	0.960084	29.2028
FAT1P1	0	0	0	0	0
FAT2	0.0207461	0.0436422	0.0239901	0.396576	0.13041
FAT3	0.0672764	0	0.125754	0.0176353	0.00747458
FAT4	2.28835	0.148395	2.7785	0.0260827	0.10723
FATE1	0	0	0	0	0
FAU	326.457	662.697	397.977	635.898	297.688
FAUP1	54.7945	91.5699	60.8178	83.1049	45.5839
FAXC	4.72998	2.69405	4.42633	8.47259	6.30785
FBF1	3.34447	3.59588	2.46827	11.6581	13.6323
FBL	108.495	225.706	258.971	124.456	277.453
FBLIM1	96.686	2.35773	6.00218	6.83141	0.0738441
FBLL1	0	0	0	0.0376828	0.318535
FBLN1	130.433	0.0642943	4.18913	1.2694	16.4657
FBLN2	0.216859	1.00019	0.0529225	0.00860218	97.9165
